id,group
HB110211219,outer
A42608880,outer
A102253207,outer
A74689751,outer
A26086059,outer
A112166884,outer
4C40-5V40-TWCN-F2S6,outer
4DHM-WS60-TWCN-F2HT,outer
HB070218188,outer
A40345794,outer
4N4T-B940-TWCN-F306,outer
A65999528,outer
A26098233,outer
4PNC-V950-TWCN-F346,outer
7V96-1T80-Y8XK-R1T5,outer
A107933150,outer
A107636671,outer
A26124453,outer
55R9-9BD1-DY2B-S0Y7,outer
HB39EC43B4-1E80-465C-88C0-B1DC2D5544BA,outer
HB080109158,outer
HBAF0D7FD0-67CD-4EFD-A919-E2DCB5E27C7C,outer
4PP0-T770-TWCN-F2BG,outer
HB090213243,outer
A25394640,outer
HBF74600B2-460C-4239-AD7E-57BC52467022,outer
HB020815447,outer
HB060403303,outer
A55476936,outer
A25430634,outer
A24586168,outer
A53255478,outer
A75009544,outer
A40879343,outer
HB050604175,outer
A51095370,outer
4PPF-13F0-TWCN-F2FY,outer
55ST-3K81-DY2B-S2N5,outer
59M8-30T1-DY2B-S2BD,outer
A14283232,outer
4PPD-JSC0-TWCN-F2WJ,outer
HB030307570,outer
A42467948,outer
A51271754,outer
A54721395,outer
HB8A024CC4-276A-443A-872A-1602E77BFA4E,outer
A102242592,outer
7X99-N5Y0-Y8XK-R2JB,outer
A45634101,outer
4C75-FYY0-TWCN-F1W5,outer
A42201665,outer
A46371778,outer
4BT6-TYK0-TWCN-F31G,outer
A69143472,outer
A44017208,outer
4HMD-TNJ0-TWCN-F304,outer
HB010202495,outer
A51231909,outer
A52583909,outer
A60235717,outer
A25241792,outer
A111397301,outer
A102384013,outer
A40254844,outer
HB090604213,outer
A59288976,outer
HB010704226,outer
4HPB-JMC0-TWCN-F18D,outer
4DDN-2C40-TWCN-F29M,outer
4GJV-6140-TWCN-F2DM,outer
4BHJ-WBY0-TWCN-F389,outer
HB031016202,outer
HB020116252,outer
4HRM-J340-TWCN-F2PR,outer
A26989876,outer
A42229227,outer
4PPD-JT20-TWCN-F2MG,outer
A64806854,outer
4FB7-KD70-TWCN-F20F,outer
4M55-VJ20-TWCN-F2SG,outer
4PPF-13V0-TWCN-F2TP,outer
A41400412,outer
A54957836,outer
A24424831,outer
4G5X-6DM0-TWCN-F21M,outer
4S5M-39J0-TWCN-F1K8,outer
5K5T-5DW1-JBK9-2216,outer
A27617508,outer
4PP7-T940-TWCN-F2X8,outer
HB010209567,outer
A27532845,outer
HB041216843,outer
A23257875,outer
4PPD-JT70-TWCN-F2S4,outer
A23081479,outer
HB021024987,outer
A13711533,outer
A52430596,outer
7YYY-YV80-Y8XK-M27Y,outer
A51869949,outer
A50588671,outer
4PP0-T7N0-TWCN-F2X3,outer
A23434363,outer
HB95487849-9310-4B14-A099-4975BEF96E99,outer
A113298303,outer
A23197675,outer
A58213989,outer
58N5-M741-JBK9-20RK,outer
A74208610,outer
4C40-5V00-TWCN-F2K3,outer
HB100225325,outer
A52591944,outer
A67753106,outer
A48406903,outer
4JFF-N1J0-TWCN-F39V,outer
HB56E66719-EDD6-474D-A3C6-5FEA0C550806,outer
A44712852,outer
4PP0-T7B0-TWCN-F1X0,outer
5785-8PK1-DY2B-S3D3,outer
HB060129701,outer
HB110610694,outer
HBBB0DEEA1-0EA3-4827-84C8-1F017502530C,outer
A24350838,outer
5Y54-YS21-DY2B-S0YJ-00000-00,outer
A61440620,outer
A41288796,outer
A50148052,outer
A68147536,outer
4S4B-0J70-TWCN-F15T,outer
7W88-0DF0-Y8XK-R0KV,outer
A101250284,outer
7WV8-4980-Y8XK-R298,outer
4PPF-1440-TWCN-F2XN,outer
A71316918,outer
4D6N-W4M0-TWCN-F2V0,outer
A24054790,outer
4PP7-T9V0-TWCN-F2XY,outer
4SRJ-7CD0-TWCN-F17D,outer
62Y4-9P01-DY2B-S3KP-00000-00,outer
A54211296,outer
5SK0-B0B1-JBK9-229N-00000-00,outer
A14200684,outer
59FS-P6R1-JBK9-21YW,outer
7VYH-H4J1-2PFJ-14FB,outer
HB73921AB4-6DF1-4970-9532-75B3D4797C8F,outer
4DX4-15D0-TWCN-F2GF,outer
51M5-CFH1-DY2B-S4N7,outer
HB050524112,outer
A22451644,outer
