"date","Topic 1: German Politics","Topic 2: Raw Materials/News","Topic 3: Private Investment","Topic 4: Financial Markets","Topic 5: Emerging Markets","Topic 6: Companies","Topic 7: Miscellaneous","Topic 8: News","Topic 9: Eurozone","Topic 10: Central Banks"
2001-01-01,0.00190394754027734,0.00170699909883276,0.00119824377667916,0.00402342356364499,0.00216204120968329,0.00142154209536676,0.00249850887294025,0.0040315312181813,0.00249850887294025,0.00302010131477634
2001-02-01,0.00186776764313461,0.000797424365406453,0.00179293503814317,0.00433622778063484,0.00317378283522492,0.00111808715693083,0.00318495693461278,0.00436975007879842,0.00339624899576506,0.00322626724144063
2001-03-01,0.00192471077710903,0.00119330863730962,0.00106322805913204,0.00295361201699976,0.00300510224586172,0.00073953217593551,0.00292319965960176,0.00401292561428849,0.0027988402179644,0.00338871950650579
2001-04-01,0.0026731854665597,0.00158218639052364,0.000818889350065286,0.00240619608489483,0.00339625123032883,0.000843393854957816,0.00450809742246749,0.00411200221651809,0.00373273099900237,0.00416503435397207
2001-05-01,0.0025304978172818,0.00132908694290649,0.00115989871001682,0.00490541222864857,0.00233723950589855,0.00128303983622312,0.00331608936463756,0.00411563458068524,0.00248828796948871,0.00407726199178243
2001-06-01,0.00458886816850311,0.00138217184728365,0.00151005066036306,0.00380286374557558,0.00308422083827016,0.00133714409619935,0.00363860250962005,0.0061097254891264,0.00446170979944105,0.00392533922852487
2001-07-01,0.00362990889561198,0.00151561515115372,0.000701935621801246,0.00299197848668027,0.00304643596061347,0.00110612323677295,0.00374660348261169,0.00459812034774892,0.00390396436508098,0.00278404994984444
2001-08-01,0.00188653697638171,0.000730249921854026,0.00101183819009993,0.00232997758669726,0.00234250809059943,0.00119701119220972,0.00297007749436626,0.00496416796257489,0.00296137575554531,0.00279743499615863
2001-09-01,0.00199045397191536,0.000972472545873941,0.00136377431059268,0.00262683224704422,0.00138839386871608,0.000996346056781471,0.00201656562447047,0.00355864521965378,0.00205349496165556,0.00184945104811776
2001-10-01,0.00177242475238436,0.000931561525130141,0.00160279816475383,0.00320836574318326,0.00154048635705282,0.000694776655866292,0.0019683607699331,0.00363762486290134,0.00322879016904081,0.00293177055233265
2001-11-01,0.00208486551089621,0.00126898497155058,0.000896334917945379,0.00208120849368713,0.00189945473839588,0.000532096003921063,0.00203147305964365,0.00436757565280362,0.00300094832177062,0.00231525759506821
2001-12-01,0.00307992761676017,0.00167389098345727,0.00104161164948754,0.00348886252226291,0.00328499118453414,0.000623138903623219,0.00405437697370158,0.00502962115067312,0.00486946491460159,0.00303462287504266
2002-01-01,0.00377452879531575,0.0020429112762325,0.001046108926212,0.00194908159765914,0.0031880013143513,0.000647608761918085,0.00334769574768792,0.00407478376675049,0.0040081830929396,0.00159804821193764
2002-02-01,0.00143003984083249,0.00110342355294417,0.000828934641359442,0.00158970271370648,0.00223199947627259,0.000738531918818922,0.00239312045757464,0.00376191974442808,0.00238838160518341,0.00120038776341101
2002-03-01,0.0012532693147043,0.000827143990632228,0.00135438379838242,0.00323050457547132,0.00266130569626286,0.000607374755699175,0.00271736576714563,0.00376531077315661,0.00237447073235963,0.00181490180397766
2002-04-01,0.00244408985064156,0.00157291492513075,0.000686695037912923,0.00304123154506036,0.00278761647628501,0.00126377678338904,0.00320171113660183,0.00402201976300798,0.00228755060621384,0.00184515708935288
2002-05-01,0.00387168053335507,0.00153332347481756,0.000756971877229197,0.00309610412458107,0.00253176666772202,0.000847668968510114,0.00294145395611489,0.00471586115220053,0.00338331158030397,0.00220153623280176
2002-06-01,0.00114082215940068,0.000941349928805438,0.000692009640561388,0.00314891488660675,0.00229429201458185,0.000982183918039609,0.00218588319360618,0.00329201453029464,0.00213746058690371,0.00204061537349878
2002-07-01,0.00152162878960237,0.00105978258026791,0.000915089017648304,0.00252979096374653,0.00221615789017647,0.00173241211460769,0.00289191593397829,0.00381247984318518,0.00293375974803315,0.00219777789708695
2002-08-01,0.00196038179364284,0.00122483690344611,0.00101192658569392,0.00197886080235341,0.00311773014353732,0.00207888847993888,0.00339049638080852,0.0034439248190369,0.00292490570481835,0.00187441423138064
2002-09-01,0.00179542566572673,0.000863559589279677,0.00124483398128667,0.0024089421141028,0.00194983972459601,0.000868113355090836,0.00227936677783984,0.00288915741782496,0.00197426446849223,0.00213820003769393
2002-10-01,0.00332621266562397,0.000885138671484837,0.00117184068041033,0.00219896138360042,0.0035781036530019,0.000985660385391864,0.00309700751251301,0.00264133515180606,0.00334616055437595,0.00202099492512689
2002-11-01,0.00402838928937035,0.000611451945707999,0.00178367399135676,0.00257823454112705,0.00198762754811364,0.000837067904284748,0.00320930526584172,0.00295712221069343,0.00386776053625321,0.00362211707410715
2002-12-01,0.00359034122036059,0.000852907091795466,0.00124428824025687,0.0025730183036407,0.00299701454780722,0.00119067438430326,0.00379675456578202,0.00296573979850094,0.00425202555925482,0.00452724335315006
2003-01-01,0.0023470773016372,0.00119894707434451,0.0009663463841805,0.00249498324671485,0.00298084188194199,0.00117457151356356,0.00405708486218577,0.00301348034468258,0.00314486048584094,0.00230411021144705
2003-02-01,0.00164672418402579,0.00107893232233247,0.00163479757327755,0.00200537440724093,0.00147676998086328,0.00100524290592366,0.00161477790523585,0.00282788459848609,0.00276867749512872,0.00296802227477799
2003-03-01,0.00246297620534055,0.00056444817783504,0.000656587180801254,0.0020576420200228,0.00145757708473863,0.00114980184373804,0.00202512237191707,0.00250943284549158,0.00226011554334771,0.00238903271976683
